varying_param,final_coop,final_clusters,influencer_coop,influencer_non_coop,steps,velocity,imitation,range,temptation
0.00,0.00,1.00,6,0,800,2.00,0.50,10.00,1.50
0.02,14.57,2.05,6,0,800,2.00,0.50,10.00,1.50
0.04,27.51,2.87,6,0,800,2.00,0.50,10.00,1.50
0.06,48.27,3.36,6,0,800,2.00,0.50,10.00,1.50
0.08,43.90,2.99,6,0,800,2.00,0.50,10.00,1.50
0.10,52.51,2.99,6,0,800,2.00,0.50,10.00,1.50
0.12,65.89,5.19,6,0,800,2.00,0.50,10.00,1.50
0.14,75.47,4.01,6,0,800,2.00,0.50,10.00,1.50
0.16,75.02,5.27,6,0,800,2.00,0.50,10.00,1.50
0.18,69.90,6.25,6,0,800,2.00,0.50,10.00,1.50
0.20,81.68,3.31,6,0,800,2.00,0.50,10.00,1.50
0.22,80.35,4.77,6,0,800,2.00,0.50,10.00,1.50
0.24,94.28,4.80,6,0,800,2.00,0.50,10.00,1.50
0.26,88.35,4.49,6,0,800,2.00,0.50,10.00,1.50
0.28,91.88,5.22,6,0,800,2.00,0.50,10.00,1.50
0.30,89.79,3.87,6,0,800,2.00,0.50,10.00,1.50
0.32,89.02,4.20,6,0,800,2.00,0.50,10.00,1.50
0.34,91.88,4.14,6,0,800,2.00,0.50,10.00,1.50
0.36,92.12,4.89,6,0,800,2.00,0.50,10.00,1.50
0.38,92.43,4.53,6,0,800,2.00,0.50,10.00,1.50
0.40,93.81,3.67,6,0,800,2.00,0.50,10.00,1.50
0.42,93.17,3.15,6,0,800,2.00,0.50,10.00,1.50
0.44,96.20,4.01,6,0,800,2.00,0.50,10.00,1.50
0.46,93.06,4.04,6,0,800,2.00,0.50,10.00,1.50
0.48,96.50,3.25,6,0,800,2.00,0.50,10.00,1.50
0.50,97.83,2.57,6,0,800,2.00,0.50,10.00,1.50
0.52,95.49,3.31,6,0,800,2.00,0.50,10.00,1.50
0.54,92.87,4.04,6,0,800,2.00,0.50,10.00,1.50
0.56,96.58,2.75,6,0,800,2.00,0.50,10.00,1.50
0.58,97.26,2.11,6,0,800,2.00,0.50,10.00,1.50
0.60,99.13,1.33,6,0,800,2.00,0.50,10.00,1.50
0.62,96.67,2.79,6,0,800,2.00,0.50,10.00,1.50
0.64,99.19,1.33,6,0,800,2.00,0.50,10.00,1.50
0.66,98.10,2.27,6,0,800,2.00,0.50,10.00,1.50
0.68,98.96,2.23,6,0,800,2.00,0.50,10.00,1.50
0.70,99.33,2.01,6,0,800,2.00,0.50,10.00,1.50
0.72,99.90,1.39,6,0,800,2.00,0.50,10.00,1.50
0.74,100.00,1.01,6,0,800,2.00,0.50,10.00,1.50
0.76,100.00,1.00,6,0,800,2.00,0.50,10.00,1.50
0.78,99.77,1.60,6,0,800,2.00,0.50,10.00,1.50
0.80,100.00,1.00,6,0,800,2.00,0.50,10.00,1.50
0.82,100.00,1.00,6,0,800,2.00,0.50,10.00,1.50
0.84,100.00,1.00,6,0,800,2.00,0.50,10.00,1.50
0.86,100.00,1.01,6,0,800,2.00,0.50,10.00,1.50
0.88,100.00,1.00,6,0,800,2.00,0.50,10.00,1.50
0.90,100.00,1.00,6,0,800,2.00,0.50,10.00,1.50
0.92,100.00,1.00,6,0,800,2.00,0.50,10.00,1.50
0.94,100.00,1.00,6,0,800,2.00,0.50,10.00,1.50
0.96,100.00,1.00,6,0,800,2.00,0.50,10.00,1.50
0.98,100.00,1.02,6,0,800,2.00,0.50,10.00,1.50
1.00,100.00,1.00,6,0,800,2.00,0.50,10.00,1.50
